Unnamed: 0,g5,g10,g15,g20,g25,g30,totals,longitudes,latitudes,transforms,utm,zone_number,hemisphere,epsg,lat,long,path
409,164,33,4,1,0,0,256,5677697.329509201,667166.0025041205,"| 10.00, 0.00, 667160.00|
| 0.00,-10.00, 5678280.00|
| 0.00, 0.00, 1.00|",20N,20,N,32620,51.22614677632117,-60.605880218388464,sentinel_1_2_worldwide_utm_20N_25-0000100352-0000037632_1.npz
493,0,0,0,0,0,0,22,4357458.257536842,419700.3257902423,"| 10.00, 0.00, 417950.00|
| 0.00,-10.00, 4361160.00|
| 0.00, 0.00, 1.00|",18S,18,S,32718,-50.928915496384434,-76.14263603478803,sentinel_1_2_worldwide_utm_18S_32-0000075264-0000000000_4.npz
755,0,0,0,0,0,0,6,680845.0850761918,192040.73952178587,"| 10.00, 0.00, 192020.00|
| 0.00,-10.00, 681110.00|
| 0.00, 0.00, 1.00|",47N,47,N,32647,6.152327446232976,96.21759908781664,sentinel_1_2_worldwide_utm_47N_28-0000100352-0000000000_3.npz
6588,4,0,0,0,0,0,8,8131863.497345176,235889.3158718879,"| 10.00, 0.00, 232250.00|
| 0.00,-10.00, 8134080.00|
| 0.00, 0.00, 1.00|",53S,53,S,32753,-16.881775401932163,132.52096206708885,sentinel_1_2_worldwide_utm_53S_30-0000025088-0000000000_3.npz
3349,44,0,0,0,0,0,219,5348739.354209328,334145.6583644134,"| 10.00, 0.00, 334120.00|
| 0.00,-10.00, 5349000.00|
| 0.00, 0.00, 1.00|",39N,39,N,32639,48.27012761685819,48.7648605809341,sentinel_1_2_worldwide_utm_39N_25-0000137984-0000000000_2.npz
7985,0,0,0,0,0,0,115,2714568.1641102545,674778.4715698699,"| 10.00, 0.00, 674520.00|
| 0.00,-10.00, 2719670.00|
| 0.00, 0.00, 1.00|",40N,40,N,32640,24.535131684296037,58.72542033762584,sentinel_1_2_worldwide_utm_40N_27-0000062720-0000037632_2.npz
6874,8,0,0,0,0,0,162,4773663.112153385,493886.452662583,"| 10.00, 0.00, 493610.00|
| 0.00,-10.00, 4773670.00|
| 0.00, 0.00, 1.00|",44N,44,N,32644,43.115674402381856,80.92485371630443,sentinel_1_2_worldwide_utm_44N_26-0000025088-0000025088_0.npz
1942,0,0,0,0,0,0,1,4085570.9271795712,552306.9505451466,"| 10.00, 0.00, 551850.00|
| 0.00,-10.00, 4089550.00|
| 0.00, 0.00, 1.00|",12N,12,N,32612,36.91470087900859,-110.4127815641697,sentinel_1_2_worldwide_utm_12N_26-0000100352-0000025088_3.npz
6610,17,3,0,0,0,0,50,8082183.383663686,238581.29137497567,"| 10.00, 0.00, 235170.00|
| 0.00,-10.00, 8087270.00|
| 0.00, 0.00, 1.00|",53S,53,S,32753,-17.330745533726752,132.54032480435097,sentinel_1_2_worldwide_utm_53S_30-0000037632-0000000000_1.npz
6924,9,1,0,0,0,0,21,5200918.871568476,629040.1684156525,"| 10.00, 0.00, 629020.00|
| 0.00,-10.00, 5205550.00|
| 0.00, 0.00, 1.00|",44N,44,N,32644,46.94923920662891,82.69573693638142,sentinel_1_2_worldwide_utm_44N_25-0000150528-0000025088_2.npz
632,1,0,0,0,0,0,57,3488760.4412123733,470101.3962331132,"| 10.00, 0.00, 470080.00|
| 0.00,-10.00, 3490370.00|
| 0.00, 0.00, 1.00|",47N,47,N,32647,31.5333906216173,98.68504835135536,sentinel_1_2_worldwide_utm_47N_26-0000163072-0000025088_4.npz
7343,4,1,0,0,0,0,9,7394001.784416597,198951.5907216985,"| 10.00, 0.00, 198640.00|
| 0.00,-10.00, 7394140.00|
| 0.00, 0.00, 1.00|",36S,36,S,32736,-23.536418037753528,30.05152249753009,sentinel_1_2_worldwide_utm_36S_30-0000100352-0000000000_3.npz
4941,3,0,0,0,0,0,101,1973534.2203347087,620646.0940689624,"| 10.00, 0.00, 619080.00|
| 0.00,-10.00, 1973550.00|
| 0.00, 0.00, 1.00|",31N,31,N,32631,17.84617259670368,4.138603234971221,sentinel_1_2_worldwide_utm_31N_27-0000137984-0000037632_3.npz
7544,2,2,0,0,0,0,2,1221667.6617955265,203071.6007244364,"| 10.00, 0.00, 198000.00|
| 0.00,-10.00, 1226780.00|
| 0.00, 0.00, 1.00|",30N,30,N,32630,11.039243513079176,-5.717442577893451,sentinel_1_2_worldwide_utm_30N_28-0000050176-0000000000_1.npz
1475,0,0,0,0,0,0,90,5714324.423461488,654366.9836486535,"| 10.00, 0.00, 654320.00|
| 0.00,-10.00, 5715820.00|
| 0.00, 0.00, 1.00|",21N,21,N,32621,51.55885141101112,-54.773104192460735,sentinel_1_2_worldwide_utm_21N_25-0000050176-0000037632_1.npz
4162,14,9,6,5,3,0,53,5188691.834845424,501510.37860680686,"| 10.00, 0.00, 498860.00|
| 0.00,-10.00, 5193770.00|
| 0.00, 0.00, 1.00|",34N,34,N,32634,46.85176624055902,21.01981198940685,sentinel_1_2_worldwide_utm_34N_25-0000150528-0000012544_0.npz
8328,79,7,1,0,0,0,168,7298207.80941803,476452.3654627214,"| 10.00, 0.00, 476430.00|
| 0.00,-10.00, 7303080.00|
| 0.00, 0.00, 1.00|",19S,19,S,32719,-24.42943629212961,-69.23229186311035,sentinel_1_2_worldwide_utm_19S_30-0000112896-0000025088_4.npz
8725,0,0,0,0,0,0,71,8520331.354345294,349701.4877264016,"| 10.00, 0.00, 349600.00|
| 0.00,-10.00, 8524550.00|
| 0.00, 0.00, 1.00|",2S,2,S,32702,-13.380797240788818,-172.3880136118742,sentinel_1_2_worldwide_utm_2S_29-0000050176-0000000000_2.npz
